1	1
2	4
2	130
4	2
4	16
4	130
6	4
6	5
6	128
7	128
7	144
8	1
8	8
8	129
8	130
8	132
9	128
12	2
13	1
13	129
13	130
13	131
14	1
14	2
14	128
15	129
16	129
17	128
18	128
18	129
19	129
19	130
20	128
21	129
22	128
23	128
24	1
24	128
25	128
25	129
25	134
26	132
28	1
29	130
30	1
30	128
30	132
30	144
31	1
32	128
32	136
33	128
33	130
33	136
34	128
37	1
37	128
38	128
38	129
40	128
40	129
41	1
42	129
43	128
44	4
45	1
45	128
46	1
50	128
51	128
52	1
52	130
53	129
55	129
56	128
57	130
58	129
58	131
60	128
61	1
61	160
63	3
63	8
63	128
63	132
63	136
64	129
65	128
65	129
65	130
67	2
67	4
67	128
67	130
68	128
69	128
70	128
71	128
72	1
73	129
74	1
75	1
76	1
76	128
76	129
77	130
77	134
78	1
78	128
79	1
79	128
79	130
80	1
80	2
80	160
81	1
82	1
82	128
83	128
85	128
86	128
86	136
87	128
88	1
89	2
90	129
91	1
91	128
92	1
92	128
93	128
94	136
95	1
95	5
95	128
96	129
97	1
98	8
98	128
99	128
101	128
102	2
102	128
103	2
103	128
104	1
105	2
107	2
107	128
107	130
108	128
109	129
110	128
112	128
113	1
113	129
114	128
114	129
115	4
115	128
115	129
116	1
116	128
117	129
118	128
119	2
120	128
121	128
121	132
122	3
123	1
123	2
124	128
124	129
124	132
125	129
126	4
126	129
127	128
128	32
129	128
129	130
130	2
130	129
131	128
131	130
132	160
134	1
134	129
134	130
135	128
136	128
137	128
137	129
137	131
138	128
140	1
140	128
140	129
141	1
141	128
141	129
143	128
143	136
144	129
146	6
146	32
147	129
148	128
151	128
152	128
153	1
153	129
155	129
156	1
156	128
156	131
158	128
159	129
160	1
160	128
160	132
161	128
162	10
163	128
165	1
165	128
166	2
166	128
166	132
167	1
167	128
168	128
168	129
169	128
169	129
170	128
171	128
173	2
173	128
173	130
174	32
174	130
175	128
175	129
176	1
176	2
176	128
177	16
177	128
178	1
179	1
179	2
179	6
180	5
181	128
182	4
185	128
186	132
187	65
187	128
187	129
187	131
187	193
188	128
189	129
190	4
192	128
192	129
192	130
192	131
193	128
194	128
195	128
195	130
196	4
196	128
196	137
197	128
198	144
200	16
201	144
202	128
203	2
203	129
204	1
204	4
204	128
204	130
205	1
205	128
206	1
206	2
206	129
206	130
207	1
209	128
210	1
210	129
211	0
211	132
212	2
213	32
213	136
214	1
214	128
215	1
217	16
217	128
218	128
219	2
219	16
219	129
219	131
219	133
220	130
221	1
221	130
222	2
222	128
223	128
223	129
224	128
224	130
225	1
225	32
225	129
226	128
226	130
226	160
227	2
227	128
228	128
228	130
229	1
229	2
229	128
230	2
230	128
231	128
232	1
232	3
234	2
234	129
235	128
236	1
236	128
236	129
237	129
237	130
238	1
238	128
239	128
239	129
239	130
241	128
242	128
243	2
243	128
243	129
245	128
247	128
248	2
248	128
249	128
250	129
252	128
252	134
254	1
254	128
255	1
255	2
255	128
